Fecha (America/Mexico_City);Tempin (°C);Temp (°C);Chill (°C);Dewin (°C);Dew (°C);Heatin (°C);Heat (°C);Humin (%);Hum (%);Wspdhi (km/h);Wspdavg (km/h);Wdiravg (°);Bar (mmHg);Rain (mm);Rainrate (mm/h);
2019-02-01 00:00:00;21,1;9,1;8,9;;2,2;;8,3;35;63;0;0;236;770,2;0;0;
2019-02-01 00:10:00;21,1;8,3;8,3;;2,2;;7,8;35;67;6,5;0;137;770,3;0;0;
2019-02-01 00:20:00;21;8,2;8,3;;2,2;;7,8;35;67;3,2;1,4;214;770,3;0;0;
2019-02-01 00:30:00;20,9;7,9;7,8;;2,2;;7,8;35;67;0;0;214;770,3;0;0;
2019-02-01 00:40:00;20,8;7,5;7,8;;1,7;;7,2;35;68;0;0;214;770,4;0;0;
2019-02-01 00:50:00;20,7;7,5;7,8;;2,2;;7,2;35;69;0;0;214;770,3;0;0;
2019-02-01 01:00:00;20,7;7,5;7,8;;2,2;;7,2;35;69;0;0;214;770,3;0;0;
2019-02-01 01:20:00;20,4;8,2;8,3;;2,2;;7,8;35;66;0;0;44;770,3;0;0;
2019-02-01 01:30:00;20,4;8,2;8,3;;1,7;;7,8;35;65;4,7;0;38;770,5;0;0;
2019-02-01 01:50:00;20,2;8,1;8,3;;1,7;;7,8;35;64;0;0;12;770,3;0;0;
2019-02-01 02:00:00;20,2;8,2;7,8;;1,7;;7,8;35;63;3,2;0;23;770,2;0;0;
2019-02-01 02:10:00;20,1;8;7,8;;1,7;;7,8;36;64;0;0;23;770,2;0;0;
2019-02-01 02:20:00;20,1;7,3;7,2;;1,1;;7,2;36;66;0;0;23;770,2;0;0;
2019-02-01 02:30:00;20;6,3;6,1;;1,1;;6,1;35;69;0;0;23;770,2;0;0;
2019-02-01 02:40:00;19,9;6,2;6,1;;1,7;;6,1;35;72;1,4;0;85;770,3;0;0;
2019-02-01 02:50:00;19,8;6,2;6,1;;1,1;;6,1;35;71;0;0;85;770,3;0;0;
2019-02-01 03:00:00;19,8;5,6;5,6;;1,1;;5,6;35;73;0;0;85;770,2;0;0;
2019-02-01 03:10:00;19,7;5,1;5;;1,1;;5;35;75;0;0;85;770,2;0;0;
2019-02-01 03:20:00;19,6;5,9;6,1;;1,1;;5,6;35;72;3,2;0;32;770,2;0;0;
2019-02-01 03:30:00;19,6;6,1;6,1;;1,1;;6,1;35;70;4,7;1,4;23;770,1;0;0;
2019-02-01 03:40:00;19,4;6,1;6,1;;1,1;;5,6;35;70;0;0;23;770,2;0;0;
2019-02-01 03:50:00;19,4;6,2;6,1;;1,1;;6,1;35;69;0;0;37;770,2;0;0;
2019-02-01 04:00:00;19,3;6,3;5,6;;0,6;;6,1;35;68;4,7;0;56;770,2;0;0;
2019-02-01 04:10:00;19,3;6,3;5,6;;0,6;;6,1;35;68;6,5;3,2;41;770,2;0;0;
2019-02-01 04:20:00;19,2;6,3;5,6;;0,6;;6,1;35;68;6,5;4,7;50;770,3;0;0;
2019-02-01 04:40:00;19,1;6,3;5;;0,6;;6,1;35;66;7,9;4,7;37;770,3;0;0;
2019-02-01 04:50:00;19;6,2;5;;0;;6,1;35;66;6,5;3,2;19;770,4;0;0;
2019-02-01 05:00:00;19;6,2;5,6;;0;;5,6;35;66;9,7;4,7;30;770,5;0;0;
2019-02-01 05:10:00;18,9;6,1;5,6;;0,6;;5,6;35;67;6,5;3,2;15;770,5;0;0;
2019-02-01 05:20:00;18,9;5,8;5;;0;;5,6;35;68;6,5;1,4;9;770,5;0;0;
2019-02-01 05:30:00;18,8;5,7;4,4;;0;;5,6;35;68;7,9;4,7;7;770,6;0;0;
2019-02-01 05:40:00;18,8;5,6;5;;0;;5,6;35;68;9,7;4,7;340;770,6;0;0;
2019-02-01 05:50:00;18,7;5,6;5,6;;0;;5;35;68;7,9;3,2;23;770,8;0;0;
2019-02-01 06:00:00;18,7;5,5;5,6;;0;;5;35;68;6,5;3,2;37;770,8;0;0;
2019-02-01 06:10:00;18,6;5,5;5,6;;0;;5;35;67;4,7;1,4;356;770,9;0;0;
2019-02-01 06:20:00;18,6;5,3;5,6;;0;;5;35;68;4,7;1,4;11;771;0;0;
2019-02-01 06:40:00;18,5;4,3;4,4;;-0,6;;3,9;35;72;0;0;11;771,2;0;0;
2019-02-01 06:50:00;18,4;4,4;4,4;;0;;4,4;35;74;0;0;11;771,3;0;0;
2019-02-01 07:00:00;18,3;4,8;5;;0,6;;4,4;35;73;0;0;13;771,5;0;0;
2019-02-01 07:10:00;18,2;5,1;5;;0;;5;35;71;4,7;1,4;35;771,6;0;0;
2019-02-01 07:20:00;18,2;5,3;4,4;;0;;5;35;68;7,9;3,2;28;771,6;0;0;
2019-02-01 07:30:00;18,2;5,7;5;;-0,6;;5,6;35;66;7,9;3,2;34;771,7;0;0;
2019-02-01 07:40:00;18,1;6;5,6;;0;;5,6;35;65;9,7;3,2;12;771,7;0;0;
2019-02-01 07:50:00;18,1;6,3;5;;0;;6,1;35;64;13;6,5;357;771,9;0;0;
2019-02-01 08:00:00;18,2;6,8;5,6;;0;;6,1;36;62;13;7,9;12;772;0;0;
2019-02-01 08:10:00;18,3;7,3;6,1;;0;;6,7;40;61;11,2;6,5;8;771,9;0;0;
2019-02-01 08:20:00;18,3;7,5;6,7;;0,6;;7,2;43;63;13;6,5;356;771,7;0;0;
2019-02-01 08:30:00;18,4;7,8;6,7;;0,6;;7,2;43;62;14,4;6,5;4;771,7;0;0;
2019-02-01 08:40:00;18,4;7,8;6,1;;0,6;;7,2;43;62;13;7,9;15;771,7;0;0;
2019-02-01 08:50:00;18,4;7,7;7,2;;1,1;;7,2;42;63;9,7;4,7;4;771,9;0;0;
2019-02-01 09:00:00;18,5;7,9;7,2;;1,1;;7,2;41;63;9,7;6,5;11;771,9;0;0;
