Fecha (America/Mexico_City);Tempin (°C);Temp (°C);Chill (°C);Dewin (°C);Dew (°C);Heatin (°C);Heat (°C);Humin (%);Hum (%);Wspdhi (km/h);Wspdavg (km/h);Wdiravg (°);Bar (mmHg);Rain (mm);Rainrate (mm/h);
2019-04-17 16:00:00;;;;;;;;;;;;;;0;;
2019-04-17 16:10:00;25,6;25,7;23,9;;7,8;;25;34;32;28,8;;97;760,9;0;0;
2019-04-17 16:20:00;25,4;26,2;25,6;;7,8;;25,6;34;31;30,6;19,4;114;760,8;0;0;
2019-04-17 16:30:00;25,5;26,6;25;;7,8;;25,6;34;30;35,3;19,4;70;760,6;0;0;
2019-04-17 16:40:00;25,6;26,4;25;;7,2;;25,6;33;29;35,3;22,7;90;760,5;0;0;
2019-04-17 16:50:00;25,7;26,2;23,9;;7,2;;25;33;30;43,6;25,9;92;760,3;0;0;
2019-04-17 17:00:00;25,7;26,6;26,1;;6,7;;25,6;32;28;40,3;22,7;101;760,2;0;0;
2019-04-17 17:10:00;25,8;26,8;25,6;;6,1;;25,6;32;27;40,3;20,9;348;760,4;0;0;
2019-04-17 17:20:00;25,6;26,8;25,6;;6,7;;25,6;32;28;33,8;20,9;104;760,3;0;0;
2019-04-17 17:30:00;25,7;26,9;25;;6,7;;25,6;31;28;33,8;20,9;86;760,2;0;0;
2019-04-17 17:40:00;25,7;27,1;25,6;;7,2;;26,1;32;28;30,6;19,4;94;760,2;0;0;
2019-04-17 17:50:00;25,7;26,8;25;;6,7;;25,6;32;28;35,3;22,7;23;760,2;0;0;
2019-04-17 18:00:00;;;;;;;;;;;19,4;25;760,2;0;0;
2019-04-17 18:10:00;25,6;26,7;25;;6,7;;25,6;31;28;35,3;17,6;83;760,3;0;0;
2019-04-17 18:20:00;25,6;26,7;25,6;;6,7;;25,6;31;28;33,8;19,4;97;760,3;0;0;
2019-04-17 18:30:00;25,6;26,2;25,6;;6,7;;25;32;29;35,3;17,6;113;760,5;0;0;
2019-04-17 18:40:00;25,4;26,1;25,6;;6,7;;25;32;29;27,4;14,4;70;760,6;0;0;
2019-04-17 18:50:00;25,2;25,8;26,1;;7,2;;25;32;30;19,4;9,7;342;760,7;0;0;
2019-04-17 19:00:00;25,1;25,5;25,6;;6,7;;24,4;33;30;20,9;9,7;319;760,7;0;0;
2019-04-17 19:20:00;24,9;25,1;23,9;;6,1;;24,4;33;30;19,4;9,7;359;760,9;0;0;
2019-04-17 19:40:00;24,8;24,9;25;;6,1;;23,9;34;30;13;4,7;326;761;0;0;
2019-04-17 19:50:00;;;;;;;;;;;;316;761,1;0;0;
2019-04-17 20:00:00;24,7;24,7;25;;6,1;;23,9;34;30;7,9;4,7;321;761,2;0;0;
2019-04-17 20:10:00;24,7;24,6;24,4;;6,1;;23,9;34;30;13;4,7;325;761,3;0;0;
2019-04-17 20:20:00;24,8;24,4;24,4;;6,1;;23,9;34;31;7,9;3,2;75;761,4;0;0;
2019-04-17 20:30:00;25,1;24,2;24,4;;6,1;;23,3;34;31;7,9;3,2;108;761,5;0;0;
2019-04-17 20:40:00;25,4;23,7;23,9;;6,1;;22,8;34;32;9,7;4,7;100;761,6;0;0;
2019-04-17 20:50:00;25,7;23,1;23,3;;6,1;;22,2;33;34;0;0;101;761,8;0;0;
2019-04-17 21:00:00;25,9;22,9;22,8;;6,1;;21,7;33;34;0;0;293;761,9;0;0;
2019-04-17 21:10:00;26,1;22,6;22,8;;7,2;;21,7;33;37;1,4;0;217;762,1;0;0;
2019-04-17 21:20:00;;;;;;;;;;;;231;762,1;0;0;
2019-04-17 21:30:00;26,3;21,6;21,7;;7,8;;20;33;41;6,5;1,4;147;762,1;0;0;
2019-04-17 21:40:00;26,3;20,6;20,6;;7,8;;19,4;33;44;9,7;3,2;338;762,2;0;0;
2019-04-17 21:50:00;;;;;;;;;45;6,5;1,4;141;762,2;0;0;
2019-04-17 22:00:00;26,4;19,9;20;;7,8;;18,9;33;46;4,7;1,4;113;762,4;0;0;
2019-04-17 22:10:00;26,4;19,3;19,4;;7,8;;18,3;33;47;6,5;1,4;166;762,4;0;0;
2019-04-17 22:20:00;26,4;19,2;19,4;;7,8;;18,3;33;48;3,2;0;163;762,7;0;0;
2019-04-17 22:30:00;26,4;19,1;18,9;;7,8;;17,8;33;49;9,7;4,7;144;762,9;0;0;
2019-04-17 22:40:00;26,4;19,1;17,8;;7,8;;18,3;33;49;19,4;9,7;148;763;0;0;
2019-04-17 22:50:00;26,4;19,1;18,9;;7,8;;17,8;33;49;17,6;11,2;158;763;0;0;
2019-04-17 23:00:00;26,4;18,8;18,9;;7,8;;17,8;33;50;13;7,9;184;763;0;0;
2019-04-17 23:10:00;26,3;18,6;18,3;;8,3;;17,8;33;51;6,5;1,4;155;763;0;0;
2019-04-17 23:20:00;26,3;18,4;18,3;;7,8;;17,2;33;51;4,7;0;223;763;0;0;
2019-04-17 23:30:00;26,3;18,6;18,3;;7,8;;17,2;33;50;3,2;0;268;762,9;0;0;
2019-04-17 23:40:00;26,3;18,4;18,3;;7,8;;17,2;33;51;0;0;270;763;0;0;
2019-04-17 23:50:00;26,3;18,1;18,3;;7,8;;17,2;33;51;0;0;270;762,9;0;0;
2019-04-18 00:00:00;26,3;17,4;17,2;;7,8;;16,7;33;54;0;0;270;762,7;0;0;
2019-04-18 00:10:00;26,2;17,8;17,8;;7,8;;16,7;33;53;3,2;0;288;762,7;0;0;
2019-04-18 00:20:00;26,2;17,9;17,8;;7,8;;17,2;33;52;3,2;0;303;762,6;0;0;
2019-04-18 00:30:00;26,1;17,3;17,2;;7,8;;16,7;33;54;3,2;0;123;762,5;0;0;
2019-04-18 00:40:00;26;16,2;16,1;;7,8;;15,6;33;58;1,4;0;123;762,5;0;0;
2019-04-18 00:50:00;25,9;16,1;16,1;;7,8;;15,6;33;58;1,4;0;123;762,3;0;0;
2019-04-18 01:10:00;25,8;15,7;15,6;;7,8;;15;33;59;0;0;123;762,2;0;0;
2019-04-18 01:20:00;25,7;15,8;15,6;;7,8;;15;33;60;4,7;1,4;111;762,2;0;0;
2019-04-18 01:30:00;25,7;15,6;15,6;;7,8;;15;34;60;1,4;0;112;762,1;0;0;
2019-04-18 01:40:00;25,6;15,6;15,6;;7,8;;15;34;60;0;0;327;762;0;0;
2019-04-18 01:50:00;25,6;15,7;15,6;;7,8;;15;34;60;0;0;330;762,1;0;0;
2019-04-18 02:00:00;25,6;15,4;15,6;;7,8;;15;34;61;0;0;353;762,1;0;0;
2019-04-18 02:10:00;25,5;15,1;15;;7,8;;14,4;34;62;0;0;125;762,1;0;0;
2019-04-18 02:20:00;25,4;14,7;14,4;;7,8;;14,4;34;64;0;0;125;761,9;0;0;
2019-04-18 02:30:00;25,4;14,2;14,4;;7,8;;13,9;34;65;0;0;125;761,9;0;0;
2019-04-18 02:40:00;25,3;14,2;14,4;;7,2;;13,9;34;64;0;0;121;761,8;0;0;
2019-04-18 03:00:00;25,2;14,4;14,4;;7,8;;13,9;34;64;0;0;246;761,8;0;0;
2019-04-18 03:10:00;25,1;15,3;15,6;;7,8;;15;34;62;0;0;291;761,8;0;0;
2019-04-18 03:20:00;25,1;15,2;15;;7,8;;15;34;62;0;0;291;761,8;0;0;
2019-04-18 03:30:00;25;14,9;15;;7,8;;14,4;34;62;0;0;204;761,8;0;0;
2019-04-18 03:40:00;;;;;;;;;;;;;761,8;0;0;
2019-04-18 03:50:00;24,9;14,5;14,4;;7,2;;13,9;34;61;3,2;1,4;264;761,8;0;0;
2019-04-18 04:00:00;24,8;14,4;14,4;;7,2;;13,9;34;62;0;0;264;761,8;0;0;
2019-04-18 04:10:00;24,8;14,4;14,4;;7,2;;13,9;34;62;0;0;264;761,8;0;0;
2019-04-18 04:20:00;24,8;14,4;14,4;;7,2;;13,9;34;62;1,4;0;264;761,8;0;0;
2019-04-18 04:30:00;24,7;14,2;14,4;;6,7;;13,9;34;62;1,4;0;264;762;0;0;
2019-04-18 04:40:00;24,7;14,2;14,4;;7,2;;13,9;34;63;1,4;0;224;762;0;0;
