Fecha (America/Mexico_City);Tempin (°C);Temp (°C);Chill (°C);Dewin (°C);Dew (°C);Heatin (°C);Heat (°C);Humin (%);Hum (%);Wspdhi (km/h);Wspdavg (km/h);Wdiravg (°);Bar (mmHg);Rain (mm);Rainrate (mm/h);
2019-03-01 00:00:00;25,4;14,2;14,4;;5,6;;13,3;32;57;3,2;0;153;766,1;0;0;
2019-03-01 00:20:00;25,3;14,4;14,4;;5,6;;13,9;32;56;0;0;86;766,2;0;0;
2019-03-01 00:30:00;25,2;13,6;13,9;;5,6;;12,8;33;59;0;0;86;766,1;0;0;
2019-03-01 00:40:00;25,1;12,9;12,8;;5,6;;12,2;33;62;0;0;86;766,2;0;0;
2019-03-01 00:50:00;25;13,4;13,3;;5,6;;12,8;33;60;0;0;86;766,3;0;0;
2019-03-01 01:10:00;24,9;13,8;13,9;;5;;13,3;33;57;4,7;1,4;41;766,3;0;0;
2019-03-01 01:20:00;24,8;13,9;13,9;;5;;13,3;33;56;4,7;1,4;51;766,2;0;0;
2019-03-01 01:30:00;24,7;13,8;13,9;;5;;13,3;33;55;6,5;3,2;30;766,1;0;0;
2019-03-01 01:50:00;;;;;;;;;;;;41;766,2;0;0;
2019-03-01 02:00:00;24,6;13,2;13,3;;4,4;;12,8;33;56;3,2;0;51;766,3;0;0;
2019-03-01 02:10:00;24,5;13,1;13,3;;4,4;;12,2;33;56;3,2;0;2;766,2;0;0;
2019-03-01 02:20:00;24,4;12,9;12,8;;4,4;;12,2;33;57;0;0;34;766;0;0;
2019-03-01 02:30:00;24,4;12,8;12,8;;4,4;;12,2;33;57;4,7;0;30;765,9;0;0;
2019-03-01 02:40:00;24,3;12,7;12,8;;3,9;;12,2;33;56;0;0;7;765,9;0;0;
2019-03-01 02:50:00;24,3;12,4;12,2;;3,9;;11,7;33;57;0;0;6;766;0;0;
2019-03-01 03:00:00;24,2;11,8;11,7;;4,4;;11,1;33;60;0;0;7;765,8;0;0;
2019-03-01 03:10:00;24,1;10,8;11,1;;4,4;;10,6;33;65;0;0;7;765,8;0;0;
2019-03-01 03:30:00;23,9;10,6;10,6;;4,4;;10;33;66;0;0;6;765,9;0;0;
2019-03-01 03:40:00;23,9;11,4;11,7;;4,4;;11,1;33;62;0;0;7;766;0;0;
2019-03-01 04:00:00;23,8;9,8;10;;4,4;;9,4;33;70;0;0;265;766,1;0;0;
2019-03-01 04:10:00;23,7;9,3;9,4;;4,4;;8,9;33;71;0;0;265;766,3;0;0;
2019-03-01 04:30:00;23,5;9,1;8,9;;4,4;;8,9;33;72;0;0;265;766,3;0;0;
2019-03-01 04:40:00;23,4;10;10;;4,4;;9,4;33;68;0;0;265;766,2;0;0;
2019-03-01 05:00:00;23,3;10,6;10,6;;4,4;;10;33;65;0;0;8;766,5;0;0;
2019-03-01 05:10:00;23,3;11,1;11,1;;3,9;;10,6;33;62;7,9;1,4;47;766,6;0;0;
2019-03-01 05:30:00;23,2;10,9;11,1;;3,9;;10,6;33;62;4,7;3,2;78;766,6;0;0;
2019-03-01 05:40:00;23,1;10,9;11,1;;3,9;;10,6;33;62;4,7;1,4;24;766,6;0;0;
