Fecha (America/Mexico_City);Tempin (°C);Temp (°C);Chill (°C);Dewin (°C);Dew (°C);Heatin (°C);Heat (°C);Humin (%);Hum (%);Wspdhi (km/h);Wspdavg (km/h);Wdiravg (°);Bar (mmHg);Rain (mm);Rainrate (mm/h);
2019-07-01 00:00:00;24,1;12,1;10,6;;11,7;;12,2;49;97;19,4;11,2;216;768,6;0;0;
2019-07-01 00:10:00;24,1;11,9;11,7;;11,7;;12,2;49;97;20,9;13;146;768,8;0,2;0;
2019-07-01 00:20:00;24,1;11,9;12,2;;11,7;;12,2;49;97;20,9;13;187;768,8;0,2;0;
2019-07-01 10:10:00;23,1;15,4;15,6;;12,2;;15,6;51;82;11,2;6,5;181;768,7;2,6;0;
2019-07-01 10:20:00;23,2;15,8;15,6;;12,8;;15,6;51;81;9,7;3,2;174;768,7;2,6;0;
2019-07-01 10:30:00;23,3;16;16,1;;12,2;;16,1;51;79;7,9;3,2;267;768,6;2,6;0;
2019-07-01 10:40:00;23,4;16,2;16,1;;12,8;;16,1;51;79;7,9;1,4;151;768,5;2,6;0;
2019-07-01 10:50:00;23,6;16,4;16,7;;12,8;;16,7;;;;;;;;;
2019-07-01 11:00:00;23,7;16,9;16,7;;12,2;;16,7;51;75;4,7;1,4;226;768,5;2,6;0;
2019-07-01 11:10:00;23,9;17,7;17,8;;12,8;;17,8;52;73;4,7;0;198;768,4;2,6;0;
2019-07-01 11:20:00;24,1;17,4;17,2;;12,8;;17,2;52;73;7,9;3,2;129;768,4;2,6;0;
2019-07-01 11:30:00;24,1;17,6;17,8;;12,2;;17,2;52;71;6,5;1,4;129;768,4;2,6;0;
2019-07-01 11:40:00;24,3;17,9;17,8;;12,8;;17,8;52;73;6,5;1,4;113;768,4;2,6;0;
2019-07-01 11:50:00;24,4;18,4;18,3;;12,8;;18,3;52;71;4,7;0;129;768,3;2,6;0;
2019-07-01 12:00:00;24,6;18,7;18,9;;13,3;;18,9;52;71;4,7;0;101;768,3;2,6;0;
2019-07-01 12:10:00;24,7;18,4;18,3;;12,8;;18,3;52;71;7,9;3,2;122;768,3;2,6;0;
2019-07-01 12:20:00;24,8;18,4;18,3;;12,8;;18,3;52;70;9,7;3,2;121;768,3;2,6;0;
