Fecha (America/Mexico_City);Tempin (°C);Temp (°C);Chill (°C);Dewin (°C);Dew (°C);Heatin (°C);Heat (°C);Humin (%);Hum (%);Wspdhi (km/h);Wspdavg (km/h);Wdiravg (°);Bar (mmHg);Rain (mm);Rainrate (mm/h);
2019-01-29 13:50:00;26,5;20,7;20,6;;;;;34;;;;63;763,9;0;0;
2019-01-29 14:00:00;26,7;20,8;20,6;;2,2;;18,9;29;29;22,7;9,7;145;763,9;0;0;
2019-01-29 14:10:00;26,7;20,6;20,6;;1,7;;18,3;29;29;22,7;13;78;763,8;0;0;
2019-01-29 14:20:00;26,7;20,3;20,6;;2,2;;18,3;28;30;27,4;13;76;763,9;0;0;
2019-01-29 14:30:00;26,8;20,6;20;;3,3;;18,9;29;32;22,7;9,7;51;763,6;0;0;
2019-01-29 14:40:00;26,7;21,2;21,1;;4,4;;18,9;28;33;20,9;11,2;194;763,6;0;0;
2019-01-29 14:50:00;25,5;21,3;18,9;;3,9;;19,4;30;32;25,9;11,2;161;763,6;0;0;
2019-01-29 15:00:00;25,9;21,3;21,1;;3,3;;19,4;29;31;28,8;14,4;160;763,5;0;0;
2019-01-29 15:10:00;26,3;21,3;21,1;;3,3;;19,4;30;31;19,4;11,2;175;763,3;0;0;
2019-01-29 15:20:00;26,6;21,6;20,6;;3,9;;19,4;28;31;24,1;11,2;151;763,5;0;0;
2019-01-29 15:30:00;26,7;21,1;20,6;;3,3;;18,9;29;31;22,7;13;97;763,5;0;0;
2019-01-29 15:40:00;26,8;21,3;20,6;;3,3;;19,4;29;31;22,7;13;191;763,3;0;0;
2019-01-29 15:50:00;26,9;21,4;19,4;;3,9;;19,4;28;32;24,1;11,2;136;763,3;0;0;
2019-01-29 16:00:00;27,1;21,2;19,4;;4,4;;19,4;28;33;24,1;13;174;763,3;0;0;
2019-01-29 16:10:00;27,1;21,4;21,7;;3,3;;19,4;28;31;20,9;13;199;763,1;0;0;
2019-01-29 16:20:00;27,2;21,3;20;;3,3;;19,4;27;31;28,8;14,4;139;763,2;0;0;
2019-01-29 16:30:00;27,2;21,1;20;;3,9;;18,9;27;32;24,1;13;154;763,1;0;0;
2019-01-29 16:40:00;27,2;21,2;20;;3,9;;18,9;27;32;20,9;13;158;763,1;0;0;
2019-01-29 16:50:00;27,3;21,3;20;;3,3;;19,4;28;31;20,9;13;127;763,1;0;0;
2019-01-29 17:00:00;27,3;21;19,4;;3,3;;18,9;27;31;22,7;13;151;763;0;0;
2019-01-29 17:10:00;27,2;21;21,1;;3,9;;18,9;27;32;20,9;13;222;763,1;0;0;
2019-01-29 17:20:00;26,1;20,6;20,6;;3,9;;18,9;27;33;20,9;13;229;763,1;0;0;
2019-01-29 17:30:00;24,8;20,4;19,4;;3,3;;18,9;30;33;24,1;13;217;763;0;0;
2019-01-29 17:40:00;25,2;20,3;19,4;;3,3;;18,3;30;33;22,7;11,2;181;763;0;0;
2019-01-29 17:50:00;25;19,9;20;;3,3;;18,3;29;34;22,7;13;225;763;0;0;
2019-01-29 18:00:00;25,1;19,4;18,9;;3,9;;17,8;31;36;17,6;9,7;150;763,2;0;0;
2019-01-29 18:10:00;25,3;18,6;18,3;;3,9;;16,7;32;38;17,6;9,7;121;763,2;0;0;
2019-01-29 18:20:00;25,5;17,8;17,8;;4,4;;16,1;33;42;22,7;7,9;174;763,2;0;0;
2019-01-29 18:30:00;25,6;17;17,2;;5;;15,6;34;45;19,4;7,9;132;763,1;0;0;
