Fecha (America/Mexico_City);Tempin (°C);Temp (°C);Chill (°C);Dewin (°C);Dew (°C);Heatin (°C);Heat (°C);Humin (%);Hum (%);Wspdhi (km/h);Wspdavg (km/h);Wdiravg (°);Bar (mmHg);Rain (mm);Rainrate (mm/h);
2019-05-01 00:30:00;25,2;16,1;16,1;;9,4;;15,6;40;66;13;6,5;136;765,3;0;0;
2019-05-01 00:50:00;25,2;17,1;17,2;;8,3;;16,1;40;57;6,5;1,4;131;765,1;0;0;
2019-05-01 01:50:00;25,1;15,5;15,6;;10;;15;40;71;11,2;6,5;289;764,7;0;0;
2019-05-01 02:30:00;24,9;14,9;15;;10,6;;15;40;74;9,7;4,7;237;764,2;0;0;
2019-05-01 02:40:00;24,9;14,9;15;;10,6;;15;40;74;9,7;4,7;214;764,2;0;0;
2019-05-01 02:50:00;24,8;14,4;14,4;;10;;14,4;40;76;6,5;1,4;119;764,4;0;0;
2019-05-01 04:40:00;24,4;14;13,9;;8,9;;13,9;40;71;3,2;1,4;150;763,9;0;0;
2019-05-01 05:50:00;24,2;13,4;13,3;;8,9;;13,3;40;73;7,9;1,4;297;764,2;0;0;
2019-05-01 06:00:00;24,1;12,9;12,8;;8,3;;12,8;40;75;6,5;4,7;293;764,3;0;0;
2019-05-01 06:10:00;24,1;12,9;12,8;;8,3;;12,8;40;75;6,5;4,7;293;764,3;0;0;
2019-05-01 06:40:00;23,9;12,6;12,8;;8,9;;12,2;40;77;7,9;4,7;188;764,4;0;0;
2019-05-01 06:50:00;23,9;12,2;12,2;;8,9;;12,2;40;79;6,5;3,2;176;764,5;0;0;
2019-05-01 07:50:00;23,6;12,8;12,8;;8,9;;12,8;40;76;6,5;1,4;244;765,3;0;0;
2019-05-01 08:40:00;23,6;14,4;14,4;;9,4;;14,4;40;72;7,9;4,7;167;765,7;0;0;
2019-05-01 08:50:00;23,6;15,1;15;;9,4;;15;40;69;7,9;4,7;183;765,8;0;0;
2019-05-01 09:00:00;23,6;15,3;15,6;;9,4;;15;40;69;7,9;4,7;160;765,7;0;0;
2019-05-01 09:20:00;23,6;16,7;16,7;;10;;16,1;40;65;4,7;1,4;179;765,8;0;0;
2019-05-01 10:40:00;24,5;21,4;21,7;;9,4;;20;40;46;9,7;1,4;360;765,7;0;0;
2019-05-01 11:30:00;25,4;23,1;23,3;;9,4;;22,8;38;42;9,7;3,2;318;765,4;0;0;
2019-05-01 11:40:00;25,6;23,6;23,3;;10;;23,3;38;42;11,2;4,7;140;765,4;0;0;
2019-05-01 11:50:00;25,7;23,9;23,9;;9,4;;23,3;38;40;7,9;3,2;134;765,2;0;0;
2019-05-01 12:00:00;25,9;24,2;24,4;;8,3;;23,3;38;36;11,2;3,2;121;765,2;0;0;
2019-05-01 12:10:00;26,1;24,9;25;;8,9;;24,4;37;36;14,4;4,7;52;765,1;0;0;
2019-05-01 12:20:00;26,3;25,6;25,6;;8,3;;25;37;34;4,7;1,4;64;765;0;0;
2019-05-01 12:30:00;26,4;25,6;25,6;;8,9;;25;37;35;16,2;4,7;323;764,8;0;0;
2019-05-01 12:40:00;26,6;26,2;26,1;;9,4;;25,6;36;35;11,2;3,2;133;764,8;0;0;
2019-05-01 12:50:00;26,8;25,9;26,1;;8,3;;25;36;33;16,2;4,7;318;764,7;0;0;
2019-05-01 13:10:00;27,1;25,9;26,1;;7,8;;25;35;32;19,4;9,7;319;764,3;0;0;
2019-05-01 13:20:00;27,1;26,3;26,1;;7,2;;25,6;35;30;11,2;4,7;164;764,2;0;0;
2019-05-01 13:30:00;27;26,4;26,1;;8,9;;25,6;35;33;17,6;6,5;98;764;0;0;
2019-05-01 13:40:00;26,9;26,4;26,1;;7,8;;25,6;35;31;17,6;7,9;135;763,8;0;0;
2019-05-01 13:50:00;27;27;27,2;;7,8;;26,1;35;29;16,2;4,7;333;763,6;0;0;
2019-05-01 14:00:00;26,8;27,8;27,8;;7,8;;26,7;35;28;16,2;4,7;114;763,4;0;0;
2019-05-01 14:10:00;26,8;27,7;27,8;;8,3;;26,7;35;29;19,4;7,9;137;763,3;0;0;
2019-05-01 14:20:00;26,9;27,6;27,8;;7,2;;26,1;34;27;19,4;7,9;118;763,2;0;0;
2019-05-01 14:30:00;26,8;27,4;27,2;;7,2;;26,1;35;28;14,4;7,9;123;763;0;0;
2019-05-01 14:40:00;26,6;27,4;27,2;;6,1;;26,1;34;26;14,4;6,5;105;763;0;0;
2019-05-01 14:50:00;26,7;28,1;27,2;;6,1;;26,7;33;25;20,9;6,5;124;762,9;0;0;
2019-05-01 15:00:00;26,7;28,2;28,3;;5,6;;26,7;33;24;17,6;7,9;274;762,7;0;0;
2019-05-01 15:10:00;26,7;28,2;28,3;;5,6;;26,7;33;24;14,4;4,7;124;762,7;0;0;
2019-05-01 15:20:00;26,6;28,1;28,3;;6,1;;26,7;33;25;11,2;4,7;110;762,4;0;0;
2019-05-01 15:30:00;26,4;28,7;28,9;;6,7;;27,2;33;25;11,2;1,4;206;762,3;0;0;
2019-05-01 15:40:00;26,6;28,3;28,3;;6,7;;27,2;33;25;13;7,9;141;762,1;0;0;
2019-05-01 15:50:00;26,6;28,1;28,3;;5,6;;26,7;33;24;20,9;9,7;158;761,8;0;0;
2019-05-01 16:00:00;26,4;28,1;28,3;;5,6;;26,7;33;24;6,5;1,4;129;761,8;0;0;
2019-05-01 16:10:00;26,2;27,6;27,8;;6,1;;26,1;33;25;11,2;6,5;109;761,5;0;0;
2019-05-01 16:20:00;26;27,8;27,8;;6,1;;26,7;33;25;4,7;1,4;324;761,5;0;0;
2019-05-01 16:30:00;25,9;27,7;27,8;;7,2;;26,7;33;27;14,4;6,5;116;761,4;0;0;
2019-05-01 16:40:00;25,9;27,7;27,8;;7,8;;26,7;33;28;19,4;9,7;86;761,2;0;0;
2019-05-01 16:50:00;25,9;27,2;27,2;;7,8;;26,1;33;29;17,6;11,2;131;761,1;0;0;
2019-05-01 17:00:00;25,8;27,1;26,1;;8,3;;26,1;34;30;19,4;11,2;117;761;0;0;
2019-05-01 17:10:00;25,7;26,9;25,6;;8,3;;26,1;34;31;28,8;19,4;119;761;0;0;
2019-05-01 17:20:00;25,6;26,7;25,6;;8,9;;25,6;35;32;25,9;17,6;114;761;0;0;
2019-05-01 17:30:00;25,6;26,6;25,6;;8,3;;25,6;35;32;27,4;;;;;;
2019-05-01 17:40:00;25,5;26,4;26,1;;8,3;;25,6;35;32;25,9;14,4;120;760,9;0;0;
2019-05-01 17:50:00;25,6;26,2;25,6;;8,9;;25,6;36;34;20,9;13;121;761,1;0;0;
2019-05-01 18:00:00;25,6;26,1;26,1;;8,9;;25,6;35;34;16,2;9,7;136;761,5;0;0;
2019-05-01 18:10:00;25,6;24,6;22,2;;6,7;;23,9;35;32;46,8;20,9;161;762,1;0;0;
2019-05-01 18:20:00;25,4;22,7;20;;7,8;;21,7;35;38;46,8;24,1;153;762,4;0;0;
2019-05-01 18:30:00;25,4;21,9;19,4;;7,8;;20,6;35;40;41,8;28,8;151;762,5;0;0;
2019-05-01 18:40:00;25,5;21,1;19,4;;9,4;;20;35;47;32;20,9;150;762,7;0;0;
2019-05-01 18:50:00;;;;;;;;;;;;;762,7;0;0;
2019-05-01 19:00:00;25,3;18,8;17,2;;10;;18,3;38;58;30,6;19,4;150;762,6;0;0;
2019-05-01 19:30:00;25,6;19,9;20;;9,4;;19,4;38;52;28,8;16,2;166;763,3;0;0;
2019-05-01 19:40:00;25,4;19,9;19,4;;9,4;;19,4;39;51;20,9;13;161;763,4;0;0;
2019-05-01 19:50:00;25,6;19,9;19,4;;9,4;;19,4;38;51;30,6;17,6;157;763,7;0;0;
2019-05-01 20:00:00;25,7;19,7;19,4;;9,4;;18,9;38;52;20,9;11,2;226;763,9;0;0;
2019-05-01 20:10:00;25,8;19,7;19,4;;9,4;;18,9;38;52;17,6;9,7;181;764,2;0;0;
2019-05-01 20:20:00;25,9;19,5;19,4;;10;;18,9;38;54;19,4;9,7;167;764,5;0;0;
2019-05-01 20:30:00;25,9;18,6;18,3;;10;;17,8;38;58;25,9;13;145;764,8;0;0;
2019-05-01 20:40:00;;;;;;;;;;;9,7;176;765,1;0;0;
2019-05-01 20:50:00;26;18,5;15,6;;9,4;;17,8;38;56;28,8;9,7;252;765,3;0;0;
2019-05-01 21:00:00;26;18,4;16,1;;8,9;;17,8;38;55;33,8;20,9;291;765,6;0,2;0;
2019-05-01 21:10:00;26;17,8;17,2;;8,9;;17,2;38;56;28,8;14,4;279;765,9;0,2;0;
2019-05-01 21:20:00;25,9;17,9;16,1;;8,9;;17,2;38;57;28,8;14,4;276;766;0,2;0;
2019-05-01 21:30:00;25,9;17,4;17,2;;9,4;;16,7;38;59;28,8;17,6;281;766,1;0,2;0;
2019-05-01 21:40:00;25,9;17,1;15,6;;9,4;;16,7;38;61;28,8;17,6;287;766;0,4;0;
2019-05-01 21:50:00;25,8;16,5;16,1;;10;;16,1;38;65;32;17,6;215;766;0,4;0;
2019-05-01 22:00:00;25,8;16,6;15;;10;;16,1;38;65;33,8;17,6;284;766;0,4;0;
2019-05-01 22:10:00;25,7;16,4;15,6;;10;;16,1;39;66;28,8;16,2;274;766,1;0,4;0;
2019-05-01 22:20:00;25,7;16,3;15,6;;9,4;;16,1;39;64;22,7;13;285;766;0,4;0;
2019-05-01 22:30:00;25,6;16,4;16,7;;10;;16,1;39;66;16,2;9,7;197;766,2;0,4;0;
2019-05-01 22:40:00;25,6;16,6;16,1;;9,4;;16,1;39;63;27,4;16,2;231;766;0,4;0;
2019-05-01 22:50:00;25,6;16,9;16,7;;8,9;;16,7;39;60;28,8;17,6;181;766,1;0,4;0;
2019-05-01 23:00:00;25,6;16,8;15,6;;8,9;;16,1;39;61;22,7;13;170;766,2;0,4;0;
2019-05-01 23:10:00;25,5;16,8;14,4;;8,9;;16,1;39;61;20,9;14,4;234;766,2;0,4;0;
2019-05-01 23:20:00;25,4;16,8;16,7;;8,9;;16,1;39;60;17,6;13;158;766,3;0,4;0;
2019-05-01 23:30:00;25,4;16,8;16,7;;8,9;;16,1;39;61;17,6;9,7;205;766,4;0,4;0;
2019-05-01 23:40:00;25,4;16,8;16,7;;8,9;;16,1;39;59;9,7;4,7;186;766,2;0,4;0;
2019-05-01 23:50:00;25,4;16,8;16,7;;8,9;;16,1;39;60;6,5;3,2;178;766,3;0,4;0;
2019-05-02 00:00:00;25,4;16,7;16,1;;8,3;;16,1;39;59;14,4;3,2;186;766,3;0;0;
2019-05-02 00:10:00;25,4;16,8;16,7;;8,9;;16,1;39;61;9,7;6,5;269;766,1;0;0;
2019-05-02 00:20:00;25,4;16,5;16,7;;9,4;;16,1;39;63;9,7;6,5;229;765,9;0;0;
2019-05-02 00:30:00;25,3;16,5;16,7;;9,4;;16,1;39;64;9,7;6,5;264;765,7;0;0;
2019-05-02 00:40:00;25,3;16,3;16,1;;10;;16,1;39;66;9,7;4,7;188;765,9;0;0;
